제목,링크
Artificial Intelligence - CISA,https://www.cisa.gov/ai
What is AI security? - IBM,https://www.ibm.com/think/topics/ai-security
Reimagining cybersecurity in the era of AI and quantum,https://www.technologyreview.com/2025/11/10/1127774/reimagining-cybersecurity-in-the-era-of-ai-and-quantum/
What is the role of AI in cybersecurity in 2025? - nexos.ai,https://nexos.ai/blog/ai-in-cybersecurity/
Securing AI in 2025: A Risk-Based Approach to AI Controls and ...,https://www.sans.org/blog/securing-ai-in-2025-a-risk-based-approach-to-ai-controls-and-governance
What Is AI Security? - Palo Alto Networks,https://www.paloaltonetworks.com/cyberpedia/ai-security
What Is AI Security? Protect AI Systems | Microsoft Security,https://www.microsoft.com/en-us/security/business/security-101/what-is-ai-security
AI in Cybersecurity: How AI is Changing Threat Defense,https://ischool.syracuse.edu/ai-in-cybersecurity/
NSA's AISC Releases Joint Guidance on the Risks and Best Practices in ...,https://www.nsa.gov/Press-Room/Press-Releases-Statements/Press-Release-View/Article/4192332/nsas-aisc-releases-joint-guidance-on-the-risks-and-best-practices-in-ai-data-se/
Artificial Intelligence (AI) in Cybersecurity: The Future of ... - Fortinet,https://www.fortinet.com/resources/cyberglossary/artificial-intelligence-in-cybersecurity
